tile_id,city,area,lat,lon,temperature_c,daily_max_temperature_c,exceedance_h,persistence_h,apparent_temperature_c,wet_bulb_c,relative_humidity_pct,solar_ghi,population,vulnerability,canopy_fraction,vegetation_fraction,pervious_fraction,impervious_fraction,building_fraction,road_fraction,transit_stop_count,school_count,park_count,cooling_center_access,data_provenance,thermal_stress_index,exposure_multiplier,exposed_population,baseline_person_hours,equity_weighted_person_hours,high_vulnerability
hou_0000,houston,Downtown,29.7527,-95.37819999999999,34.92362756110683,38.77562756110683,8.114803070683228,6.225161734159017,39.32696623526635,30.05685599656004,68.37741587562964,729.8205270647155,30.246710199080727,0.5515315771757388,0.06034818048648694,0.09683749051223531,0.10425517150213821,0.8365233555938968,0.39480981935976667,0.2662667371505858,3.064650854559326,0.0,0.0,0.2549032967162719,synthetic_demo_calibrated_to_diagnostic_summaries,0.39634449931183685,1.1461933827477826,34.66857908007619,392.83177153820174,555.3261164291047,False
hou_0001,houston,Downtown,29.7527,-95.3758,34.933056833830754,38.78505683383075,8.74668854337841,8.060049423866477,39.4525780896071,28.87291977787005,65.93242573758003,694.5395008882828,31.54011202187943,0.564305809500901,0.13753534257140573,0.19006048100249656,0.1500718240888309,0.7818902289742359,0.45358631291288815,0.22119745361896548,3.2728934466213992,0.0,0.0,0.15054368061908802,synthetic_demo_calibrated_to_diagnostic_summaries,0.4085463116683523,1.1579564985961655,36.52207768218633,449.9562294817473,640.3909152200002,False
hou_0002,houston,Downtown,29.7527,-95.3734,34.98148382520884,38.833483825208845,8.947177591138127,7.002771199428453,39.25653106115585,29.52312111315224,64.26942255805379,798.800746669315,19.83703044515545,0.5510161901866432,0.05762601553284033,0.13961043581608978,0.2342412008092842,0.6981822417097183,0.4505103832066498,0.18426922773054155,3.4648154619992027,0.0,0.0,0.5526161694161728,synthetic_demo_calibrated_to_diagnostic_summaries,0.4607097672977118,1.1687977048949774,23.185475656229478,303.0163069883091,428.24147526915243,False
hou_0003,houston,Downtown,29.7527,-95.371,34.9606074364269,38.8126074364269,9.185968317236918,9.160756065964865,39.295135625949854,28.767184466416513,65.5125655896703,757.128904537312,20.924369834207923,0.454016505509824,0.11459666692741433,0.1740974732663478,0.17000230382552423,0.7755650857861576,0.36288406925545474,0.22589580839946694,1.7825709181577019,0.0,0.0,0.2653997876530528,synthetic_demo_calibrated_to_diagnostic_summaries,0.4437611227053796,1.0737718158174,22.467998591712274,297.97832476069266,399.4436330548335,False
hou_0004,houston,Downtown,29.7527,-95.3686,34.94756666090415,38.79956666090415,9.390705251791866,7.563930050561293,39.43715661586422,28.736059422512326,66.20173432300108,762.2912551473714,24.787087144414606,0.35218418006221797,0.11744223419724958,0.17668408478070236,0.1692624302384365,0.772358733449206,0.3891922420823831,0.25209078522432593,3.017621169732146,0.0,0.0,0.21264029324044795,synthetic_demo_calibrated_to_diagnostic_summaries,0.4720598778283074,1.1435367906190688,28.344946081919055,391.8314763194201,495.3291117270127,False
hou_0005,houston,Downtown,29.7527,-95.36619999999999,34.80833668175001,38.66033668175001,8.748671513124942,7.121035231015183,39.0005016909806,28.62272307490615,70.46365441379142,819.3383102377678,18.771509334254667,0.47953534337475767,0.08077693518900816,0.14751158247614712,0.19067042082039704,0.7426539633324227,0.44450410564786835,0.28511381990030915,2.5242520062616047,0.0,0.0,0.2868302171322147,synthetic_demo_calibrated_to_diagnostic_summaries,0.3454319768810753,1.1156675705500358,20.942764214505225,246.51188290108857,335.1702532107872,False
hou_0006,houston,Downtown,29.7527,-95.3638,34.65864121504079,38.51064121504079,8.466003759010663,7.409475426316694,39.43704430606724,28.231660203380304,72.22785160047705,837.1053751706806,21.761199705886717,0.50465731432393,0.07715442206650515,0.12937562532962982,0.14920343789464197,0.7894084790569642,0.4092538869892921,0.21004910119681358,4.134618719985517,0.0,0.0,0.26817026939972466,synthetic_demo_calibrated_to_diagnostic_summaries,0.3003233924795257,1.18,25.678215652946324,282.6797342112355,389.6720308218688,False
hou_0007,houston,Downtown,29.7527,-95.3614,34.48384689397452,38.33584689397452,7.948756456837497,6.232432195025544,38.57576677985604,28.691274441327018,67.5765263277068,596.2080580200886,24.81120451073319,0.5885374180994652,0.13809248872845808,0.17875072560375482,0.11616639107227639,0.8172857041844006,0.44365269828882004,0.20881999198512552,2.1067270421262783,0.0,0.0,0.176300736801175,synthetic_demo_calibrated_to_diagnostic_summaries,0.18527159339349444,1.0920826042178275,27.095884835862613,255.28212401022398,367.9644356241675,False
hou_0008,houston,Downtown,29.7549,-95.37819999999999,34.644376669030706,38.49637666903071,7.859479943327911,7.245173847532785,38.592233144256845,28.17436539109629,67.5203323583812,747.5348194799392,27.149817542011856,0.5529673475963285,0.06737338682147481,0.13736660474225187,0.19998062263079158,0.738594061270577,0.40950210732420933,0.25813405714436255,3.15588636638554,0.0,1.0,0.3271306133931375,synthetic_demo_calibrated_to_diagnostic_summaries,0.1713445112288169,1.2313470541675966,33.43084785154404,307.7696905538303,435.40963264590107,False
hou_0009,houston,Downtown,29.7549,-95.3758,34.89606214865681,38.748062148656814,9.634694833612464,8.67591062004401,40.136881548596016,29.51287990411061,73.01002260322629,777.3240352174713,21.886308089658886,0.4230671555367992,0.09923496485556517,0.1409013901139356,0.11904692930962985,0.82771378804285,0.3549285509834676,0.19586801488755376,1.9389374313852021,0.0,0.0,0.20567248088355525,synthetic_demo_calibrated_to_diagnostic_summaries,0.5824003022830219,1.0826045785663123,23.69421734577763,361.2407111830343,475.8625212912568,False
